A,B,C,D,E,F,G,H
0.5134147029450584,0.0552207274077825,0.03366352587249821,0.637152167085813,0.3284175982056803,0.5573795938587801,0.866698090434633,0.8437421151753216
0.6439638843045868,0.7592421253926049,0.5261898880151035,0.7372868335596489,0.033565443640930614,0.7986097487906613,0.32418536547363586,0.15961932552263836
0.29624758655644934,0.177088723071255,0.41284618279044516,0.7605007245879505,0.642340946847003,0.15714462175771216,0.562107894552209,0.28362790956168416
0.4354507813646449,0.6732574316268163,0.6836794259580493,0.78128610675035,0.7546872405695104,0.2850816519558872,0.11600595215489717,0.15920681362574285
0.31666226550426524,0.11123131475402936,0.6929311258584325,0.03615286707033061,0.9518726869231149,0.448935529438126,0.5386443942229087,0.7289088581967023
0.5783663150704049,0.054867658683741216,0.5783177006719799,0.8843061505122229,0.4890969189614083,0.4842639578226383,0.2444756324695586,0.4123242448158424
0.6199746763099215,0.11176561310625677,0.8351945845147835,0.49441647563051894,0.967804903377894,0.2445252059858224,0.42745641085284525,0.8637061308943957
0.38134803963138453,0.3268720862533737,0.7323113109851321,0.10011286930242247,0.27750911842107173,0.2745289220132656,0.6924104596935446,0.49578262453587674
0.977011687197731,0.4293415629747189,0.6067681843147266,0.052684489067325146,0.9622464650134518,0.7617313418539116,0.7416958708923714,0.3372618758731749
0.9777403139236074,0.15064896059386546,0.9025558005229417,0.6070197310556454,0.5610416432202264,0.8785108793729766,0.2018855790023475,0.8469739748025292
0.3499764470600034,0.2819094022165247,0.9836264134026693,0.42965519095399385,0.9107553876916575,0.45263081991434195,0.5894060553525255,0.7690963549359033
0.7172189146858872,0.6077800929842839,0.9984174884060812,0.4207822230938374,0.8931965366327881,0.23144439464265043,0.4362609480293944,0.5975385680831758
0.7943807854717855,0.4536481629543224,0.7658623730310745,0.24984056975165703,0.13495988129598568,0.31605237963921096,0.909259903055875,0.3513782289023719
0.5449307213426261,0.41322215599260315,0.7726410987011845,0.17940443919664495,0.8325247170677834,0.6962065087605668,0.8741144617761398,0.5568932754263483
0.45359645684813765,0.9792004675411359,0.5252236126510961,0.4128891158781781,0.3033490399157207,0.4219119845042667,0.05827612712987984,0.44223289518163367
0.4098929002223749,0.6450129186524906,0.877520189395221,0.13391643793358066,0.5886175783968648,0.7673580510892278,0.6787235778482148,0.1313775303737431
0.4163946206332727,0.3710716699546338,0.8803205672427395,0.2799719471805189,0.33050465765789594,0.9700139604442194,0.7374315178872859,0.3442556915277106
0.01806268828170199,0.7074552525105086,0.6685708460509424,0.4087802946906476,0.48254730027884307,0.7629366661889924,0.06007230407393582,0.3712252998801534
0.7663310267385497,0.34227419348561483,0.945557134877238,0.07073995614415551,0.3911996228268031,0.04323148586315273,0.9559211064463694,0.8131808814233523
0.06227784031167238,0.17268321574950274,0.385495450850017,0.4891195560889323,0.9485326083815099,0.1911234556510455,0.0799926354573619,0.5594162933180024
0.18507809712964507,0.7691818685756968,0.6518320181858235,0.1883259418058334,0.5243558444324945,0.5111074935776201,0.04064923000404741,0.525240259131313
0.9339422779016089,0.9465508067635514,0.10180751386279263,0.6773202723031777,0.02221458203473292,0.7224345909168534,0.08398882001529062,0.19651467507178255
0.790955084572645,0.8400379460985734,0.8370398700477928,0.49579885332728746,0.8510066492433476,0.350231757228071,0.16476699132929784,0.050212980426874276
0.674626210225089,0.11202253631530756,0.1822349708183797,0.8178524267889198,0.11144402337870285,0.5969799563718684,0.9724126231532152,0.9594620063462022
0.429576873641917,0.09913177606163515,0.5934167323566791,0.8875096620098163,0.6023089837323298,0.5145542737156203,0.716053530687882,0.2999206903323004
0.19801044219645336,0.30201080315086337,0.9168709071651072,0.15539732379767435,0.06425872794304177,0.43098735337826866,0.7829237836051622,0.7213887281201081
0.548691313099261,0.6891027927528024,0.5441020270924627,0.37048822269394166,0.5654761170792325,0.599325271621758,0.3288656793450033,0.33353718652680364
0.8155228021218452,0.16718135164105863,0.706644279640288,0.4095551537341474,0.667629395484466,0.7783610562630879,0.18939962569516888,0.7603444890580737
0.8190258671130922,0.6945216801535671,0.9823177932378693,0.21364640856437145,0.7324291296321987,0.3748445831680064,0.5182575049763444,0.8788477696051061
0.6582115783658637,0.7989549422360313,0.7564806590212878,0.23327367644805597,0.8411191799192035,0.8699467496640653,0.18286883885163419,0.459123047184431
0.956009238564222,0.9593839864163235,0.46251926386666276,0.25039074411652107,0.9092514033349429,0.8622157684523636,0.6610596911114913,0.9155248414851114
0.20734324073316046,0.346374562414567,0.9870204857079857,0.30041104253015927,0.30658998711450947,0.6138782130312006,0.4412465126855599,0.8090743189435207
0.32550368905952964,0.5023069549586768,0.915135380049152,0.3755106188397308,0.22591851818159292,0.35770964412228,0.02222285946774527,0.4693749724140993
0.855698500211107,0.4539569922176032,0.030630249384555164,0.13971513300698968,0.9981462814695992,0.2826915092967426,0.8652192529665282,0.5245312104251485
0.8557028333956395,0.4782185902503059,0.6303520915206497,0.7775856200418559,0.8619261109699022,0.48821701856313915,0.8500193870358004,0.030458952265673078
0.9236389327907693,0.7348432868805651,0.5518854720788527,0.055232678071406305,0.7723930141072549,0.8816778871279166,0.5962135092327118,0.4041379176759454
0.9326204917431299,0.8030932065519345,0.9256386643806807,0.20239130885031742,0.8990351798570227,0.3260986165552945,0.24553130771895326,0.09859826998701637
0.998058635125957,0.7681256090665544,0.8342854212447904,0.7955678493758157,0.5849893831293851,0.01910139185726578,0.7874202825014397,0.1301654002924466
0.46421369634717224,0.8357398253968887,0.6692374836325045,0.16412589277517253,0.9721216974650649,0.2041504356455709,0.32665599428199854,0.7427034651526139
0.3313372123895988,0.22543873938333725,0.12647588084336714,0.24403977248962483,0.18565323667394107,0.30935407169986506,0.949878998495081,0.6523627389498964
0.8833678964977025,0.33727535817727416,0.5165424079675995,0.5587626946851604,0.41129605019707016,0.8834708160985086,0.05059107361400794,0.6627544599085979
0.1797153809500025,0.6428866371132937,0.14535572700161214,0.164716203778557,0.21777476204680857,0.005994328641399704,0.4409967138856461,0.20739164195144955
0.01527496642818682,0.152181162454173,0.6258047857699234,0.08746986573085747,0.049354260904744485,0.5878614368965541,0.6849885717124641,0.2195572586368747
0.8984281763022337,0.38493950915438746,0.7434184431194079,0.9235130755355931,0.12151159458803285,0.23311022033243556,0.42751692820288,0.9872254648064711
0.529041970983483,0.2882228557563665,0.25114793412386316,0.21934227403381035,0.014104126885014834,0.05332235903979443,0.21122077769179637,0.9245631216002955
0.19522362443486851,0.9290114735140651,0.15602416795691354,0.8672123747675871,0.7149582710048699,0.6046574922499887,0.6842436807822004,0.5443503262961614
0.11927270275868296,0.5403168926183773,0.39457847983218297,0.18411640072973023,0.008767040060366105,0.4063287166703339,0.16677484312577306,0.7418522042873557
0.25572947266926405,0.03220645718032522,0.10155233024429089,0.7790652165315701,0.6558926157208055,0.15885482925434424,0.2767466969868517,0.15492199007343765
0.5518020412997923,0.9900495492103146,0.1926141484433752,0.6238721135221232,0.31413706168069533,0.2561703371796391,0.6902973369421805,0.5698510510651981
0.06488265058369003,0.9096676912698763,0.754935725375946,0.9944903517846185,0.5330255657213451,0.6585242928271252,0.02773157782977098,0.8559582157583466
